reviews,ratings,sentiments
product good delivary time long,3,1
using one plus think need review using since month problem think battery well charge min ok battery well overall ba good phone price range,5,1
worst experience nd day facing issue mobile bottom speaker stop working hour kind audio video file trying sometime issue get recovered observed issue time one week raised return request technician visited initially technician arguing phone one speaker shown audio playback happening speaker explanation worst pa,1,-1
better aspect aesthetic well performance buy blindfolded even better pro u want spend k u buy pro,5,1
excellent awesome device doubt true flagship phone marvelous,5,1
phone heating satisfactory,1,0
day phone getting hanged,4,0
looking premium quality camera quality good setup camera frosted silver colour osm finger face unlock working fast,5,1
awesome phone,5,1
excellent phone one plus really love packing flipkart good deliver said time thanks,5,1
fastest delivery awsome product,4,0
super phone mja aa gya,5,1
awesome,5,1
true flagship killer,5,1
gud one,5,0
second one plus device earlier one op love bit camera quality incredible battery life soo amazing never really need charger screen brilliant sound quality havent hastle free phone life love initially felt little tall phone used month feel perfect really cant think one negative aspect phone looki,5,1
loved totally worth every penny smooth hz refresh rate,5,1
aweasome phone falled love,5,1
awesome mobile game lover display camera performing excellent,5,1
best processor superfast performance best camera price segment battery one day thanks w charger nice design build quality,5,1
great phone price pointeverythings good phone expectedi like packaging flipkart care expensive product good experience,5,1
much better fone,5,1
amazing product battery least last log hour playing game allover good product flagship game also,5,1
enjoying experience,5,1
pan camera,5,0
ok,5,1
awesome phone thanks flipkart,5,1
sooper phone pretty sexy phone,5,1
awsomeeee productt must buy,5,0
got issue mini beast bought device play pubg sometimes click photo turned beast tbh ofcourse bettery life good compared iphones warp charger make much easier heating issue also speaker thats great nothing speak cam super amazing,5,1
ite automatically,1,0
good,5,1
son like much,5,1
best tge market till awesome seller,5,1
super flop phone finger sensor stop working every day change setting finger sensoreven phone auto lock mode work lock itnot satisfied phone,1,1
overheat,1,0
awesome phone go,5,1
first class,4,1
nice mobile,5,1
fun haptic feedback malfunctioning day,4,1
good,5,1
nice product received gr packaging thanks flipkart,5,1
first flagship phone happy,5,1
good,5,1
suggest want buy luxury phone performance reasonable budget go oneplus amazing experience,5,1
good camera,5,1
awesome product,5,1
go,4,0
osm loved,5,1
buttery smooth performance,5,1
good product exelent smoot performance super camera overall perfect product,5,1
great mobile working maniac,5,1
mobile good however experiencing lag sometimes tried uninstalling unused apps still hang sometimes expect otherwise good,5,1
nice product good work,5,1
amazing phone,4,1
mobile awesome giving big opening box get rectangular plastic sealed box batery good charging speed unbelievable picture quality ok high level mobile smooth use sound awesome use c type headphone need buy adapter price high given specification sell k correct cost,5,1
great move iphone phone display buttery smooth pubg run like piece cake camera outstanding macro mode super awesome feature better even iphone anyday price point,5,1
nice phone,4,1
superb phone one plus,5,1
nice super,5,1
love,5,1
sexy mobile loved,5,1
well experience day everything ok,5,1
beast,4,0
vera level smart,5,1
awesome game experience,5,1
device slow even compared one plus,1,-1
great performance gaming killer phone every think best phone battery low support fast charge best ever phone life,5,1
great phone value money playing pubg phone make u feel like pro,5,1
good,5,1
awesome phone guy sound quality excellent surround sound camera outstanding,5,1
osm product k go without confusion camera sexier batter v good performance unbelivbale,5,1
excellent phone reasonable prize totally love phone best phone used far camera great display smooth processor also overall performance simply great even though battery mah battery life much better many phone greater mah wrap charger dope totally recommended,5,1
nice mpbile,5,1
would like say one line really hot aag laga deta hai boom,5,1
loving camera superb mode,5,1
overall good profarmance,4,1
value flagship true flagship killer,5,1
superb,4,1
one word overall excellent,5,1
dream set,5,0
network,4,0
beast phone highly recommend product need go lite note lite samsung bought frosted silver loved color mate finish amazing bet u wot regret buying product camera amazing dual stereo speaker also gr haptic feedback paar samsung note really iphones display hz screen fluid fast infact brightest go upto,5,1
excellent,5,1
nice mobile phone excellent camera quality,5,1
best mobile value money camera performance display o battery top notch dont think rounded camera module camera performance best oneplus upgrading towards brand,5,1
oneplus always surprise phone,5,0
best budget flagship,4,1
excellent product speech le,4,1
probably best android phone,5,1
happy,5,1
nice looking,5,1
good,5,1
nice product,5,1
kaboom go without second thinking performance crazy stunning display hz refresh rate battery good camera might bit better better iphone xr,5,1
liked,5,1
nice phone,5,1
super,5,1
happy phone,5,1
super excited,5,1
good product android,5,1
nice product,5,1
loved phone,5,1
mind blowing phone,5,0
awsome,5,0
worth buy nothing say,4,1
good,5,1
best phone destroyer flagship phone,5,1
phone performance fast loved,5,1
noting say,5,0
superb,5,1
superb cam,5,1
nice ph,5,1
food,5,0
nice camera except micro mode battery drainage fast,4,1
nice phone got one day delivery,5,1
perfect,5,1
superb excellent,5,1
mind blowing purchase oxygen o super love,4,1
satisfied product,5,1
delivered day thank u flipkartdisplay phone bother lil apple fan everything phone average,5,-1
nice phone miss mm jack,5,1
amazing experience,5,1
excellent product value money,5,1
best mobile sd plus,5,1
incredible phone battery mah else everything awesome,5,1
good,4,1
good phone,4,1
osm phone,3,0
good phone use,5,1
good product,5,1
excellent phone worth money looking phone use long time definitely phone perfect fit need similar phone mp cam spec definitely best pay little get better phone,5,1
nice product,5,1
best phone ever,5,1
another level flagship,5,0
awesome,5,1
finger face unlock working properly heating continuosly used premium youtube app hour,3,0
super,5,1
aswome mobile,4,0
superrr,5,0
nice,5,1
smart phone,5,1
nice,5,1
smooth operation amazing experience classic camera quality,5,1
nice phone,5,1
awesome,5,1
well best flagship phone currently market performance fast satisfied,5,1
best phone oneplus nailed keep going thanks flipkart quick delivery excellent customer support,5,1
awsm,5,0
good product value moneylooking classy,5,1
best phone,5,1
goog,5,0
great phone premium fast delivery,5,1
amazing,4,1
good product thanks flipkart time delivery,5,1
best phone budget highly recommended loved,5,1
good prize range lit lit lit,5,1
mobile delevry awesome,5,1
camera awesome,5,1
amazing phone,5,1
better plus pro,4,1
best,4,1
brilent mob,4,0
best,5,1
simply loved every feature phone really cool awesome especially love way phone get charged took le min get fully charged person looking phone price range u grab piece technology u love,5,1
awesome mobile,5,1
much better samsung,5,1
nice pic quality battery quality gameing quality asm,5,1
super,5,1
maruvless value money exlent mobile,5,0
horrible battery life rest r good,3,-1
super,5,1
good quality,5,1
nicc,4,0
best everything true flagshipinitially camera app getting hang issue nighmode update resolved,5,1
beast range compare vivo oppo oneplus one disadvantage big rounded camera problem camera superb little lack low light condition understand tht phone camera u ignore tht black area around camera attractive scratch rough use bother u buy backcase camera protection also bought ringke camera protected tht,5,1
real beast,5,1
great product good service flipkart,5,1
excellent,5,1
nyc good product,5,1
ausome,4,0
phone excellent field,5,1
awesome product,5,1
aweasom phone,5,0
nice,4,1
good costly,3,1
camera average photo lover never ever buy one plus completely waste,2,-1
love u mobile love,5,1
good phone good speed touch excellent,5,1
awesome,5,1
op one great phone,5,1
good value money,5,1
good,5,1
time delivery amazing hardware top notch performance sensor work maximal performance close eye order,5,1
gud,5,0
mobile awesome dont think much go,5,1
used iphone oneplus best camera clarity best display value money fully satisfied comment,5,1
display loud speaker performance exellent battery also good,5,1
awesome,5,1
everything beautiful except auto brightness,5,1
nice,5,1
missing headphone jack negative,5,-1
fast worth money,5,1
product good value moneyy,5,1
nice one,4,1
pro,5,0
superb product packging alos good super fast delivery,5,1
rounder using know,4,0
good phone overall performance,4,1
value money product,5,0
nice mobile,5,1
best yet one plus talk camera battery performance speed everything top notch although none phone compared one price range,5,1
good luck,5,1
good finishing,5,1
awesome phone loved,5,1
oneplus standing battery performance hz nd hzits mah battery charging capacity op w warp charging much faster actually beyond imagination believe specific review oneplus awesome every aspect op camera sensational display one best speaker ever use impressive o think much go,5,1
first one plus device reviewing week usage biggest concern buying phone battery read lot review saying good battery guess pretty decent moderate user charging speed pretty quick min charge good go camera amazing aspect ui best screenquality decent processing speed super quick,5,1
nice mobile dream mobile best mobile year,5,1
everything amazing phone totally worth money want rounder phone great photography amazing camera good display go otherwise go asus rog phone k also beast great user experience camera okayish give great gaming experience rounder user experience eco system premium guarantee update ro,5,1
overall amazing,5,1
awesome mobile love,5,1
everything great,5,1
st time purchased one plus series phone usualy preferred samsung galaxy series nice device good design performance word,5,1
well awesome smartphone oneplus rangethe phone good performance good battery charge fast warp charging percentage jus min problem device heating little bit otherwise problem,4,1
best performing smartphone camera price segment need download gcam,5,1
love phone,5,1
love camera super,4,1
doubt best phone k,5,1
apple ka baap,5,0
excellent low cost flagship,5,1
good one,5,1
one plus best phone good price using one plus since one plus,5,1
great service product,5,1
overall good value money problem facing overheating phone call hour,4,1
nice camera,5,1
tool good,4,1
nice one value money,5,1
beautiful phone st one plus glad switched samsung camera amazing night shot come great even without flash warp charging awesome build quality superb battery last whole day performance good hope phone continues perform way,5,1
selfie camera best level average back camera best big disadvantage zoom mode available selfie potrait mode,4,1
amazing product one plus,5,1
heating issue,1,0
best phone ever must buy thanks flipcart,5,1
worst experience nownward buy anything flipkart bad experience ever,1,-1
one plus good experience photo quality pretty,5,1
super best value money,5,1
straight point battery okish hour life end end day charger cancel con say min max display best camera crystal clear processor smooth swift overall best phone k segment,5,1
got old used piece apparentlybought giftbasic function like gallery working lost money well reputation tried returning productreturn workstuck loss huge moneyflipkart even respondbetter purchase store,1,1
best phone camera prosser,5,1
nice mobile,5,1
battery performance good,1,1
nice phone performance nice,5,1
good,5,1
god true gamer want increase screen size,5,1
good fantastic product,5,1
dear flipkart firstly would like say thanks phone awesome great experience good battery camera etc thanks one plus launching great phone hope run smoothly like future also regard ekram syed,5,1
st week use phone stopped working display went dead never dropped phone damage scratch stopped working sudden,1,-1
awesome phone gaming camera,4,1
amazing macro mode camera super smooth interface charging speed commendable battery back good easily give day backup loving new one plus,5,1
charging issue,1,0
oneplus good job man,5,1
best phone range,5,1
best phone get price range,5,1
ultimate phone excellent display quality sound quality camera quality,5,1
one plus better overall performer realme x pro rog phone whereas realme experience high end smartphone market let say brand matured oneplus hand rog phone daily driver beast phone focussed gaming lack overall package,5,1
haa worst experience purchasing device flipkart bought oneplus next day battery drainage started per flipkart reseller device battery drain min considered battery drainage pretty logical chasing flipkart whole week rebuttal replace swap device technician checked everything else technician pe,1,-1
wonderful camera performance battery could better must buy price range,5,1
give fake data cable want original data cablesecond battery backup low compare battery backup maham disappointed,1,-1
bad service quality,1,-1
good one,5,1
superb quality phone amezing performance,5,1
good camera,5,1
good,5,1
india brand best phone one plus camera nice gaming performance,5,1
phone devil aswoome,5,0
phenomenal decision made samsung oneplus first worthy upgrade till date thank oneplus providing outstanding mobile phone indian market rocked like bos everything beyond expectation whether camera super fast charging blazing fast performance,5,1
oneplus super smooth display look battery backup okey sound quality camera quality,5,1
worth,5,1
osm,4,0
next level,5,0
overall best class standard,5,1
update review monthoverall good performance every side mobile rock suprbbbbb,5,1
awesome phone value money oneplus always take care customer satisfaction mind blowing,5,1
impressive mobile however improve battery performance mobile need,4,1
totally awesome,5,1
l feature best superbb,5,1
awesome mobilesuperb camerasmooth excellent performancevalue money,5,1
sprb delivery time tooo late,5,-1
plus,5,0
phone value money loved,5,1
include manual quick start guide,5,1
product good delivary time long,3,1
using one plus think need review using since month problem think battery well charge min ok battery well overall ba good phone price range,5,1
worst experience nd day facing issue mobile bottom speaker stop working hour kind audio video file trying sometime issue get recovered observed issue time one week raised return request technician visited initially technician arguing phone one speaker shown audio playback happening speaker explanation worst pa,1,-1
better aspect aesthetic well performance buy blindfolded even better pro u want spend k u buy pro,5,1
excellent awesome device doubt true flagship phone marvelous,5,1
phone heating satisfactory,1,0
day phone getting hanged,4,0
looking premium quality camera quality good setup camera frosted silver colour osm finger face unlock working fast,5,1
love,5,1
awesome phone,5,1
excellent phone one plus really love packing flipkart good deliver said time thanks,5,1
fastest delivery awsome product,4,0
super phone mja aa gya,5,1
awesome,5,1
true flagship killer,5,1
gud one,5,0
second one plus device earlier one op love bit camera quality incredible battery life soo amazing never really need charger screen brilliant sound quality havent hastle free phone life love initially felt little tall phone used month feel perfect really cant think one negative aspect phone looki,5,1
loved totally worth every penny smooth hz refresh rate,5,1
aweasome phone falled love,5,1
awesome mobile game lover display camera performing excellent,5,1
best processor superfast performance best camera price segment battery one day thanks w charger nice design build quality,5,1
great phone price pointeverythings good phone expectedi like packaging flipkart care expensive product good experience,5,1
much better fone,5,1
amazing product battery least last log hour playing game allover good product flagship game also,5,1
enjoying experience,5,1
pan camera,5,0
ok,5,1
awesome phone thanks flipkart,5,1
sooper phone pretty sexy phone,5,1
awsomeeee productt must buy,5,0
got issue mini beast bought device play pubg sometimes click photo turned beast tbh ofcourse bettery life good compared iphones warp charger make much easier heating issue also speaker thats great nothing speak cam super amazing,5,1
ite automatically,1,0
good,5,1
son like much,5,1
best tge market till awesome seller,5,1
super flop phone finger sensor stop working every day change setting finger sensoreven phone auto lock mode work lock itnot satisfied phone,1,1
overheat,1,0
awesome phone go,5,1
first class,4,1
nice mobile,5,1
fun haptic feedback malfunctioning day,4,1
good,5,1
nice product received gr packaging thanks flipkart,5,1
first flagship phone happy,5,1
good,5,1
suggest want buy luxury phone performance reasonable budget go oneplus amazing experience,5,1
good camera,5,1
awesome product,5,1
go,4,0
osm loved,5,1
buttery smooth performance,5,1
good product exelent smoot performance super camera overall perfect product,5,1
great mobile working maniac,5,1
mobile good however experiencing lag sometimes tried uninstalling unused apps still hang sometimes expect otherwise good,5,1
nice product good work,5,1
amazing phone,4,1
mobile awesome giving big opening box get rectangular plastic sealed box batery good charging speed unbelievable picture quality ok high level mobile smooth use sound awesome use c type headphone need buy adapter price high given specification sell k correct cost,5,1
great move iphone phone display buttery smooth pubg run like piece cake camera outstanding macro mode super awesome feature better even iphone anyday price point,5,1
nice phone,4,1
superb phone one plus,5,1
nice super,5,1
love,5,1
sexy mobile loved,5,1
well experience day everything ok,5,1
beast,4,0
vera level smart,5,1
awesome game experience,5,1
device slow even compared one plus,1,-1
great performance gaming killer phone every think best phone battery low support fast charge best ever phone life,5,1
great phone value money playing pubg phone make u feel like pro,5,1
good,5,1
awesome phone guy sound quality excellent surround sound camera outstanding,5,1
osm product k go without confusion camera sexier batter v good performance unbelivbale,5,1
excellent phone reasonable prize totally love phone best phone used far camera great display smooth processor also overall performance simply great even though battery mah battery life much better many phone greater mah wrap charger dope totally recommended,5,1
nice mpbile,5,1
would like say one line really hot aag laga deta hai boom,5,1
loving camera superb mode,5,1
overall good profarmance,4,1
value flagship true flagship killer,5,1
superb,4,1
one word overall excellent,5,1
dream set,5,0
network,4,0
beast phone highly recommend product need go lite note lite samsung bought frosted silver loved color mate finish amazing bet u wot regret buying product camera amazing dual stereo speaker also gr haptic feedback paar samsung note really iphones display hz screen fluid fast infact brightest go upto,5,1
excellent,5,1
nice mobile phone excellent camera quality,5,1
best mobile value money camera performance display o battery top notch dont think rounded camera module camera performance best oneplus upgrading towards brand,5,1
oneplus always surprise phone,5,0
best budget flagship,4,1
excellent product speech le,4,1
probably best android phone,5,1
happy,5,1
nice looking,5,1
good,5,1
nice product,5,1
kaboom go without second thinking performance crazy stunning display hz refresh rate battery good camera might bit better better iphone xr,5,1
liked,5,1
nice phone,5,1
super,5,1
happy phone,5,1
super excited,5,1
good product android,5,1
nice product,5,1
loved phone,5,1
mind blowing phone,5,0
awsome,5,0
worth buy nothing say,4,1
good,5,1
best phone destroyer flagship phone,5,1
phone performance fast loved,5,1
noting say,5,0
superb,5,1
superb cam,5,1
nice ph,5,1
food,5,0
nice camera except micro mode battery drainage fast,4,1
nice phone got one day delivery,5,1
perfect,5,1
superb excellent,5,1
mind blowing purchase oxygen o super love,4,1
satisfied product,5,1
delivered day thank u flipkartdisplay phone bother lil apple fan everything phone average,5,-1
nice phone miss mm jack,5,1
amazing experience,5,1
excellent product value money,5,1
best mobile sd plus,5,1
incredible phone battery mah else everything awesome,5,1
good,4,1
good phone,4,1
osm phone,3,0
good phone use,5,1
good product,5,1
excellent phone worth money looking phone use long time definitely phone perfect fit need similar phone mp cam spec definitely best pay little get better phone,5,1
nice product,5,1
best phone ever,5,1
another level flagship,5,0
awesome,5,1
finger face unlock working properly heating continuosly used premium youtube app hour,3,0
super,5,1
aswome mobile,4,0
superrr,5,0
nice,5,1
smart phone,5,1
nice,5,1
smooth operation amazing experience classic camera quality,5,1
nice phone,5,1
awesome,5,1
well best flagship phone currently market performance fast satisfied,5,1
best phone oneplus nailed keep going thanks flipkart quick delivery excellent customer support,5,1
awsm,5,0
good product value moneylooking classy,5,1
best phone,5,1
goog,5,0
great phone premium fast delivery,5,1
amazing,4,1
good product thanks flipkart time delivery,5,1
best phone budget highly recommended loved,5,1
good prize range lit lit lit,5,1
mobile delevry awesome,5,1
camera awesome,5,1
amazing phone,5,1
better plus pro,4,1
best,4,1
brilent mob,4,0
best,5,1
simply loved every feature phone really cool awesome especially love way phone get charged took le min get fully charged person looking phone price range u grab piece technology u love,5,1
awesome mobile,5,1
much better samsung,5,1
nice pic quality battery quality gameing quality asm,5,1
super,5,1
maruvless value money exlent mobile,5,0
horrible battery life rest r good,3,-1
super,5,1
good quality,5,1
nicc,4,0
best everything true flagshipinitially camera app getting hang issue nighmode update resolved,5,1
beast range compare vivo oppo oneplus one disadvantage big rounded camera problem camera superb little lack low light condition understand tht phone camera u ignore tht black area around camera attractive scratch rough use bother u buy backcase camera protection also bought ringke camera protected tht,5,1
real beast,5,1
great product good service flipkart,5,1
excellent,5,1
nyc good product,5,1
ausome,4,0
phone excellent field,5,1
awesome product,5,1
aweasom phone,5,0
nice,4,1
good costly,3,1
camera average photo lover never ever buy one plus completely waste,2,-1
love u mobile love,5,1
good phone good speed touch excellent,5,1
awesome,5,1
op one great phone,5,1
good value money,5,1
good,5,1
time delivery amazing hardware top notch performance sensor work maximal performance close eye order,5,1
gud,5,0
mobile awesome dont think much go,5,1
used iphone oneplus best camera clarity best display value money fully satisfied comment,5,1
display loud speaker performance exellent battery also good,5,1
awesome,5,1
everything beautiful except auto brightness,5,1
nice,5,1
missing headphone jack negative,5,-1
fast worth money,5,1
product good value moneyy,5,1
nice one,4,1
pro,5,0
superb product packging alos good super fast delivery,5,1
rounder using know,4,0
good phone overall performance,4,1
value money product,5,0
nice mobile,5,1
best yet one plus talk camera battery performance speed everything top notch although none phone compared one price range,5,1
