reviews,ratings,sentiments
good phone best price point great phone better asus rog phone overall performance buy without second thought better display hz fluid amoled want allrounder go,5,1
firstly receive headset mentioned amazon website customer get free headset box like misleading customer giving false information secondly want say like everything phone first oneplus phone love oxygen o said facing minor heating issue phone still bother expect would happen oneplus hope fixed heard lot oneplus decided purchase new phone picked oneplus rog battery decent drain quickly using dark mode help lot saving battery even heavy usage like camera phone use beauty mode entirely change face look really weird samsung oppo vivo far better come camera wide angle photo also come odd click object using wide angle come well click photo people person front come really bad especially selfie camera phone worse selfie camera earlier using samsung edge much smaller compared oneplus phone big take time get adjusted phone,5,-1
beast compared product wonderful product provided one plus thanks one plus tean,5,1
uploading video image watch waste money phone price range many customer face facing issue screen flickering watching video specially youtube u noticed notice upper side notch setup play youtube u see u full screen normal purchased thanks amazon replaced issue screen flickering thanks amazon approve return get refund seriously device good price pls waste money oneplus u never expect like,1,1
worst speed hanging responding got mobile day yesterday nd oct installed basic apps like whatsapp fb banking apps movie image music loaded still hanging clock working alarm ringing basic feature,1,-1
phone lit one best phone hv ever seen everything flawless worth buying loving,5,1
using mi past year loved software experience knew something lacking hardware end decided switch real flagship grade phone around k mark like e pixel almost bought either one pic oneplus teased online oneplus design op attention immediately decided wait much review comparison video available first sale blown away sheer look instantly bought oneplus soon went sale th trust never regret decision choose oneplus classify review category wise design design look fabulous elegant right word frosted silver colour matte frosted glass back circular camera look dope fingerprint magnet unlike previous mirror finish hand phone taller oneplus comparison tad thinner feel lighter overall hand feel great due curvedback glass narrower width even hold without case slip feel premium sure camera triple camera setup serious upgrade previous oneplus well mi phone photo quality great sharp detailed image produced camera nightscape image good macro mode something never seen phone macro close detailed check nightscape macro mode sample main camera ois eis video really stable talking ois hardware feature lacking previous mid range phone glad small notch front camera instead pop camera fan pop cam doubt longevity real world condition battery first warp charge serious tech mean charged le hour also oneplus claim plug phone use well play game phone charging heating issue battery back first day setup battery drained really quickly even standby next couple day android ai kicked learnt usage pattern started giving notification app draining battery asked optimise also showed notification restricted background activity certain apps overnight using phone also tweaked background activity battery optimisation certain apps manually trust phone giving day half backup moreover full dark mode developer option look dope well save lot battery amoled screen sot screen time immediately review around hour battery still left time since last charge hour gaming hour watched netflix youtube used whatsapp twitter instagram browsed web made call g data active entire time update receiving small mb update bug fix camera improvement sot little hour minute day half usage insane considering hz display well sot battery backup total depends usage pattern mine includes calling texting browsing social medium g mobile data gaming far screen large dynamic screen really good contrast rich colour calibrate display per taste much hyped hz display true really feel difference hz hz hz much smoother software came android box ask also oxygen o great stock android improvisation minimum bloatware amazing experience overall performance well number say check antutu score top list blazing fast speed performance instantly open switch apps without lag face hang freeze issue far device heating issue far haptic feedback guy really need feel believe haptic feedback feel typing playing notification sound music next level customer support encounter issue calling customer care called inquire avail free year extended warranty yes read right oneplus offered complimentary extended warranty avail well customer care well guided avail also really polite courteous also followed protection plan would seriously suggest consider checking protection plan oneplus website pretty economical would provide assurance device covered accidental drop water damage bought one give peace mind premium price paid device insured would say true flagship device price bracket know else flagship phone pack perhaps wireless charging ip rating feature deal breaker warp charge like twice thrice fast wireless charging leaf wireless charging mere showoff feature really use phone wirelessly charging find practicality wireless charging ip rating would say unofficially fairly water resistant checkout various water drop test tube try pwell go phone budget allows true flagship experience regret buying,5,1
using samsung phone talk going around thought giving one plus try received oneplus set phone worth spending mm audio jack provide type c connector also samsung phone come good quality headphone apple released phone without audio jack provided connector big disappointment make lot call using earphone one plus need think,1,1
iphone user last year feeling android device beat camera display user interface experience iphone oneplus hz display magic hand also camera superb initially wanted go iphone buy instead decided go feel made right decision close eye go love,5,1
good quality camera great finger print reader enormous battery life fast charging easy handle beautiful user interface timely delivered thanks amazon,4,1
camera quality worst opening portrait mode back camera stop working putting status whatsapp select picture select continuously contact amazon customer care said day purchase think know operate fault replace people wasting time first spend good amount money waste time request kindly replace replacement time period oct th oct already completed nonsense thingsthanks regardsamazon customer,1,1
sceptical watched review give oneplus pro run money using since last day assured give oneplus pro samsung even iphone run money interface used miui emiui amigo o none never smooth oxygen o super fluid killing fast credit also go sd gb ram camera one best k thing say built quality par premium smartphonesdisplay used lcd panel display phone entire life yes really enjoying watching video make thing sweeter stereo speaker phone verdict spend k oneplus worth,5,1
want return denying battery draining fast gap back panel happy amazon service one helping,1,1
display camera performance battery,5,0
buy device almost buyer recieved phone faulty display amazon allowing replacement,1,0
worst service amazon nd class product oneplus design phone premium quality phone k better built quality oneplus first last experience oneplus amazon train people adequate knowledge,1,1
got phone yesterday amazing pro camera amazing super fast look splendid con heat bit charging drain quite fast great phone overall,4,1
update got new update oxygen o issue gaming mode gone using day let say first great device really really glad bought samsung note review broken pro con list pro come pre applied screen guard transparent silicon case box always cable quality great charger well built display quality great spec sheet hdr certified display provides gorgeous color great viewing experience hand feel also great device weight make heavy light use back glass slippery slippery previous oneplus device big hand easily reach far corner gesture navigation performance top notch used device till surpass fluidity device everything feel natural seamless hz display great add faster experience device speaker good asus rog phone iphone x pro max great price range may equal samsung note series call quality great jio vodafone network mic also performs great job cancelling ambient noise party hear voice clearly loudspeaker normal mode charging speed great got device fully charged tot hour great new android oxygen o great fluid said earlier still bug fixed oneplus team front camera great casual selfies ample light situation low light software yet optimized yet go triple camera setup back good camera made better using software lot light picture come great sometimes color faded low light bit much noise liking go macro shot battery life great constantly getting around hr screen time average average usage device con hardware wise con device software wise bit bug much needed improvement bug whenever open game graphic intensive app screen first go black lock device unlock using face unlock get game screen camera software optimized yet battery life issue user navigation gesture worst ever grace android screen slow clumsy need lot getting use someone coming older oneplus gesture mention issue feel using back gesture tall side ridge provided case literally put pressure thumb dig edge display ridge case get working every time switched back older button navigation,5,1
hello using oneplus one month purchased k inr expected premium camera better software price saying number one premium brand india giving headphone jack even type c converter ip rating wireless charging average camera performance least expected great camera satisfy price software bug worst customer service faced wifi issue instead solving people telling solve giving step asking solve support please tell premium brand even come near flagship killer joking please spread word feel,1,-1
phone look great work well except got glitch strip occassionally top use youtube trying contact amazon team avail,1,1
think heating issue phone,2,0
nice phone camera superb battery great ideal premium phone affordable price,5,1
get three case mobile,1,0
pro design look sleek easy handle though big screen well balanced hand feel little heavy though much weight difference good speed performance good display excellent camera definitely big change previous model con still process experiencing product update based finding,5,1
wan na rate item cheap class defected product received amazon plz guy order electronic item like mobile phone laptop anything u get defected item amazon guy taking back complained many time one want listen complained first day got delivered prodect fixed appointment technician one came check product day action side please requested look electric product amazon plz buy,1,1
hand beast flagship killer anyday lucky enough buy one mid budget price battery performance great hz display think fine anyway getting w fast charger customisations oxygen o cool hardware feel premiumstock android experience always love scary part glass back feel slippery online video show tendency break impact iam using case come box decent see forum complaining ugly camera real look ugly camera job perfectly mode need iphone pro unless professional photographer care detailing overall would give phone major go buying put hole pocket give value penny spent oneplus phone easily used year maybe even since company sends update regularly hope review useful,5,1
worst camera ever cheap quality back cover straight away denied ask exchange time within hr please buy oneplus needed camera instead buy iphone vivo wasted money also amazon responsible taking back phone day,1,-1
phone good cover given oneplus damage let know procedure replace,1,1
first review exchanged got monday beast everyone smooth camera ultimate thing disappointed battery capacity,5,-1
sim tray ejector missing packet hence returning back another device,3,-1
function call second sim first sim net disconnectednot daily data usage option cheap phone really hurt buy company phone,1,1
everything fine slow motion work properly start normal speed slow end speed good awful click sec video phone convert sec low speed boring similar iphone phone want know phone guy facing problem,1,-1
said phone piece beauty look amazingly beautiful hand hand feeling awesome beginning buying process amazon simply smooth thereafter product delivered expected delivery time phone look really sophisticated hz display smooth like never glacier blue colour one promoted predominantly oneplus trust frosted silver colour stunning initial impression detailed review follow day intense usage,5,1
firstly dream hold oneplus device came true since op eagerly waiting use oneplus devicei going review everybody know product top notch every aspectthey include ip rating wireless charging memory card slot saddest thing removed mm earphone jackbut still put one plus premium segment selling device trust quality device madebut paying b w kplease provide atleast type c mm earphone jack headphone itselfit hurt cause music loverfinally never setlle,5,1
phone overheating issue even normal browsing reputed brand issue like acceptable happy phone investing much amazon taken care trusted buyer replacing defected phone,1,1
mobile nice term everything compared one plus pro u give earphone youtube saw unboxing india box big getting bullet wireless headphone different case box different received thing one plus team work rest everything fantastic,2,1
initial impression using phone day battery life worse one plus usually watch youtube hr g wifi always listen music bluetooth hr end day usually juice remaining multiple apps issue supplied o youbroadband app refuse open spotify issue listening music bluetooth camera app stutter time new navigation system take getting used case screen guard make difficult perform back gesture positive hz refresh rate noticeable speaker loud clear screen beautiful watched couple hdr video nit screen make video pop even phone blazing fast love clutter free oxygen o tested camera properly update review,4,1
phone doubt amazing however tube video indicate big box cover n headset diary etc sure missing got box phone n charger,4,1
work great first impression follow one month review great hz display lovablegreat screenone hand operation possible good sizehaptic feedback vibration nicewifi g reception better last phone pixel xl complaint far,5,1
heating battery drain quickly battery life good fast charging matter support one plus customer care camera fake portarit mode poor quality want tell customer oneplus cheating customer desperately want return phone,1,-1
awaiting oneplus tit real bossperfect every aspectthanks much,5,1
lovely mobile oneplus hz omg like makhan day moblie good complan update battery good hour plus display time hz pubg hour hd extrime love moblie,5,1
product worse respect camera reproduce skin tone texture even broad day light struggle sharpness structure image earlier review removed honest let see amazon really considering hide fact accepting real customer problem removing,1,1
got phone monday day onward mobile showing downloading downloading whereas opening play store update app onto phone internet connectivity show slow checked old phone downloading app second whereas phone show downloading hr happy way mobile functioning think software issue phone second use phone eye getting straingood thing desing batter finger scanning software creating issue use,1,1
performance veery fast slot earpiece battery around mah everything right earpiece slot le mah battery notification light good oneplus fan,4,1
upto markwide angle lens saturated haptic motor developing stage think accurate device,1,1
battery life suck drain completely le hour countinous usage iphone give hour sot even small battery think purchase want oneplus amazon fix soon otherwise phone would get negative remark battery otherwise everything else fine phone oneplus need optimise phone,3,-1
first day usage great display graphic excellent soundgreat camerabut tried pubg full high setting result fantastic term display average term performance got heated quickly first round finger got sticky battery charge hour drain relatively quickly possibile reason could keeping phone hz setting may bring hz setting phone would work fine u r fan immersive display n video,4,1
parcel get head phone whuch precent main packeg one pluse phone box,1,1
ultra smooth buttery two option life use oneplus rather die macro shot fabulous amazing camera everything perfect,5,1
lady gentlemanputting review week rigorous use oneplus firstly money want invest decent flagship phone tired vivos mi world search end presenting flagship premium phone presented u firstly start going love display hz refresh one beauty feature powered samoled display phone leave stone unturned nice powereful gb ram justice phone short io version androidwrap powerful charging power phone le min le hour charger bit bulky going carrry time ur phone battery run day mediun high usage storage youare heavy user lot gaming medium content go gb version else gb job well enhanced feature like digital wellbeing zen mode help u measure ur screen time achieve good mobile life balanceoxygenos smooth vomes perloaded oxygen o box dolby atmos surround sound work like masterpiece wont need full volume time pls note phone mm audio jack got buy good decent type c aux converter simply buy good bluetooth headset camera lovely picture perfect right color balance whitewash ur pix like mid range phone put good show latest iphone variant finger print sensor decent job packaging premium big box red invite letter charger back cover sticker phone come preloaded glass protector premium case cut right place betwen running low budget willing compromise triple camera setup charging hz display go base variant pro go guy packed much advanced hardware guy also look series launch oct evaluating hope enjoyed review please hit like button information helpful cheersfrom community,5,1
received mobile transferring apps old one plus phone heated lot later tried open game time experienced heating issue continues plan return display amazing camera zoom picture clarity bad literally count pixel,3,1
purchased r buy back scheme instant cb year screen replacement warranty mobile protected acko screen protection plan year extended warranty oneplus care app free charge quickly wrap charge,5,1
bad battery backup getting around hour normal usage worst battery backup till time,1,-1
seen headset unboxing video youtube got false advertising disappointed,1,-1
youtube downloaded content watch pubg game playing smooth apps still loading minits buffering oxyzen ui lagging like hell gb ram varrient wth man buffering lagging pubg game antutu bench mark lakh thousand hundred antutu score scoring even near lakh score wth equipped ufs storage still lagging app loading heavvy game loading hevy game loading understandable small apps app loading streaming app loading jio good wifi connection wth mark apps loading minits lagging like small budget range ph small budget range ph lagging hanging flagship phone hanging issue facebook loading forcestop wait close app bugging issue facebook hanging issue small app like facebook trouble loading wth ui buggy loading buffering like hell minits delay wth man,1,-1
bought becoz saying fluid amoled display display good like pro performance good like one plus morei used day felt camera setup diffrence performance upgradation sure though one plus set fast bought fluidic display like pro otherwise would bought pro thing disappoint one plus could made premium k look mean phone built making full screen phone notch friend saying look like moto phone back look premium everything good performance sound crystal clear unique camera setup ultra fast screen lag camera perfect display good fully fluidic like properformance camera pubg charging premiumness rakesh shokeen,3,1
bad phone app hang nobody listening oneplus care neither amazon replacement care telling third party app responsible,1,-1
loving money spend valuable gadget pro amazing display hz great true dolby sound amazing put quality piched product word explain performance rear camera ok tat good expected money perfect network loop around mobile meant gaming dying played hour high end game heat battery stable hour high end usage quick charging delivers min con product slight heavier comparitive current technology front flash low light photo video could better audio phone jack notification light availablemy first bad review delivery customer support amazon expect,4,1
awesome camera quality never expected,5,1
ambient light function working properly followed step instructed still facing issue,1,1
phone month old still paying emi slipped fell sofa floor much force phone display went green stopped functioning touch also working even though warranty year physical damage phone even single scratch one plus told physical damage pay recover phone service bad listen customer put blame even phone defective normal phone slip fall using moto g durable phone also colleague issue samsung everything warranty nothing bad one plus one plus making money let settle u paid u buy one plus u never settle one payment careful one plus fan one till happened,1,-1
one plus gamers suggest co battery drain like one plus mobile awesome camera finger print sensor good performance good battery backup upto mark reducing resolution hzstill satisfied batteryand amazon delivery huh prime member almost near location local agent refusing deliver product bad experience many follow turned second time area delivery agent facing issue,3,1
editing week usage replacement apart camera design phone prof wonderful package asusual star performer oneplus delivery took week time long wait eager check triple camera setup took pic wide right quarter image much hazy first thought dust front cam close examination could find dent scratch wide angle lens causing hazy picture tried replace phone amazon right away said technician door step day time check issue based report phone may replaced fair already waited week get phone able use another week oneplus admirer right oneplus one never happened oneplus request oneplus tighten quality check packing priduct minute dent making wait almost day use oneplus rest camera super good macro extraordinary night scape improved lot focusing issue im uploading pic check top right corner haziness amazon please arrange replacement soon possible may change rating star get good replacement,5,1
awesome phone spec wise look wise everything spot got phone th thanks amazon prime account first impression look amazing new forsted sliver first kind smartphones pro android box software update done hz fluid display amazing free difference smaller notch rear camera performance good accept oneplus phone nightmode impressive mean get picture dark environment low light pretty decent performance issue come gb ram best chip set market wt waap charge amazingly fast resolve mah battery issue literally crazy fast almost forgot new micro camera feature fantastic shot object low cm distance stability issue lastest oxygen o simple fast always make phone one best prize range almost missed back cover also good quality con mm jack missing biggest great headphone usb c jack donggle provided selfie camera could better improve software update camera bump okay,5,1
ok using device day review bought phone using iphone plus vivo nex everyone writing pro write con ui many issue software example gesture navigation option trust use le back old school navigation key hour every one use mobile case day hard use gesture case also conflict many apps able open menu app due gesture vivo nex feature implemented well battery mah battery may watched many video enough hour trust getting hour sot normal us update lost battery writing review charging oneplus say support w charger let come reality compared phone old vivo nex found charge maximum checked ampare app vivo nex w charger charge know youtube mentioned camera thing liked camera macro mode every thing else still average price range front camera portrait mode even worse year old iphone plus fingerprint facescanner performance perfect,3,1
worst device oneplus ever seen red green tint issue lower brightness level replace first one issue replacement device also issue return display issue device fantastically built great camera quality o main thing smartphone seeing display issue display acceptable although oneplus denying occurence issue please beware buying check thing moment device arrives get brightness see tint dark grey black background promptly return oneplus store might accept claim afterwards,1,-1
batterylife using oneplus exchange purchased oneplus battery performance bad drain fast charge notworthit disappointed,1,-1
fingerprint scanner working even able open pin code one day bought product unlock unexpected,1,1
good fingerprint scanner blazingly fastcamera first time kinda beat google camera appbattery charging superfast backup gooddisplay outstandingsound stereo experience amazing qualitythe badthe ambient display setting major bug pickup phone show tap screen show stop working randomly sometimes time day sometime happen sometimes much frequent take video upload youtube showcase problem oneplus yet response update thanks amazon phone got replaced amazon technician visit concluded device indeed buggy replacement arrived th october till bug surfaced thanks amazon,3,1
brought one plus previously like phone well one plus phone fast charging working charging connects disconnect ever sec running loop one came amazon testing told mobile problem return phone one plus delivered product without testing,5,-1
phone hanged went dark like minute black screen nothing working even switch button even day maybe got defective piece utterly disappointed,1,-1
second device replacement firstly bought oneplus first time got defective product issue battery draining although oneplus battery draining issue one rapid battery draining within return period requested refund amazon denied issued replacement tried best calling customer support rude never accepted refund request got replacement coming replaced device one lot problem first one especially main feature like camera front cam working oneplus claim better software phone lag point apps might also get crashed use fed device bad luck opened box return date busy exam denied replacement request saying return window closed asked contact oneplus contacted oneplus also repeated help replacing could repair newly bought phone fair enough amazon oneplus side repair newly bought phone especially one inbuilt hardware issue without option went kochi service centre repairing checked phone told software issue told come hour came hour something phone gave back checked infront unfortunate side burst anger opened front cam still functioning without even checking condition phone gave back probably would experience amazon oneplus side decide buying phone worst phone worst service amazon oneplus side student saving bought dream phone became nightmare nothing added phone department suck please buy amazon option go another brand,1,-1
unboxing experience good box accessory none asking earphone least type c mm jack expected coming phone fabulous screen personally coming qhd display fhd amoled display see difference hz refresh rate make feel phone lagging build build quality good gorilla glass screen good enough handle little drop back glass fragile use phone case take sometime praise look performance word camera lot playful mode try shooting macro shot great video stabilization good fps slow motion also coming phone photo turn great color natural hope fix update speaker loud clear network connectivity cellular reception good wifi strength also good able use wifi previous phone struggled haptic feedback oneplus claim improved haptic feedback phone might done better phone better vibration experience vibration phone thin instant charging warp fast charge hour people confused regarding charging brick expecting warp branding included charger internal circuitry inside phone make charging even faster inside phone brick included charger warp warp oxygen o smooth lag heating quick update inbuilt app lock call recorder best android fork close stock necessary functionality built verdict planning buy practical phone within k budget get one regret,4,1
phone getting heated charging using hour without playing game battery consumption camera quality super specially night mode within day got hanged twice using oneplus since yr good phone battery backup one day without charging continuous use never get heated even using continuously charging thought update ph new one decision satisfactory,4,1
camera awesomescreen faaduprocessing fastbattery backup poorhope oneplus something,3,0
even week already hanging heavy thick moto z vibe camera disappointing well low light battery drain quickly battery life horrible exchanged oneplus honestly want old phone back even year performing better aspect better design disappointed,3,-1
hate gettting heated,1,-1
let start tag boom every thing wantpros snapdragon extremely smooth eccentric performance android box quite fantastic ram management effective time u ram available free even gaming display epic personally prefer flat screen nice smooth fabulous hz display extremely satisfying even option reduce hz quite handy camera absolutely amazing crisp quality top notch performance low light outdoor perfect scenario camera performes expected crazy hell even k video fps stunning front quite good nice color contrast white balance get u wonderful indor outdoor selfies gaming beast pubg cod fortnite run extremely smooth hz display game amazing battery good lasted day remaining playing game min gps mobile data time avg screen time hr min hr playing game gps turned u get better time warp charge beast min phone charged silly fast crazy hell charge min enjoy full day battery one thing even support hdr streaming netflix prime quite good satisfying check previous one ignore point oxygen o upgraded customization nice dark theme lover extremely satisfying convinient use build quality amazing panel smooth matte like feel nice come preapplied protector screen good get pvc back case nice firmly hold phonecons mighty headphone jack gone quite bummer one plus provide extended type c mm jack disappointing world bluetooth adjusted led notification light personal choice prefer notification light indicates notification charge indication memory slot kind ok still want extra storage verdict premium phone flagship feature best bang buck u premium lover go go goo gooooo,5,1
best oneplus yet much improved compared predecessor op even someone op well worth upgrading op pro latest hardware along latest software display absolute stunner display camera quality probably latest iphone pixel level whisker away design look reduced notch increased screen size matt finished glass back choice colour back sound quality phone speaker oxygen o android box con mm headphone jack headphone included phone battery back good op mostly due bigger faster refresh rate screen however battery back average con basically nitpicking hardware software device offer price asking almost unbelievable price perform ratio phone probably best market right disposed op favour op coz well worth upgrade would highly recommend device,5,1
first one plus phone loved experience worth spending snappy fast cool feature,5,1
product invoice contain information mobile delivered requested generate invoice product serial number software bug camera speed absolutely stunning limitation camera like k uhd image recorded minute slow motion recorded minute,3,1
great phone disappointing nonetheless given price pay satisfaction fulfilling pro great display hz display wonder get bored smoothness within day wanting feature useful evident everyday fast charging fast enough thank giving box plus point design camera design great compared square fiasco phone back awesome color look premium surely keep case hiding greatness back oxygen o great compared customised o fast smooth phone performs without lag whatsoever heaviest usage battery optimisation smart apps reload quite bit minimising reopening real time message sometimes shown till open app say whatsapp great box utility though feeling cover supplied phone may beautiful strong enough proper cut battery good hz display possibly heavy usage obviously hence bought phone battery drain quite quickly le compared average budget phone anyway cover whole day fast charging box good move love side slider sound con mm c converter provided given instead cover cover personal choice converter useful sim tray design bad sim tray got stuck first day go service centre god know much charge sim tray lock system hold card intact avoid problem network working fine tray come change sim card really disappointed issue first day camera performance battery performance sound quality good expected price point though fast charger number camera type stereo speaker plus point heavy fat phone previously used slim light phone android system utilizes almost gb storage gb version present good reason somehow satisfied happy getting new phone great phone still feel bit overcharged due con faced believe utility provided box example mm converter c type earphone wireless earphone fast charger lens cleaner glass cleaner etc personalization accessory like cover screen guard lens guard sticker etc purchased user increase overall utility box bundle purchasing already expensive phone paying several really necessary accessory,3,1
purchased st day glad camera speed warp charging everything phone awesome definitely premium phone competitive price go,5,1
performance good enough wasting money phoneand amazon returned sale please take care buy product,1,1
writting review week use pro camera hz display wrap charge con heating issue going use gaming purpose device heat min expect oneplus battery backup good wrap charger make overall good phone gaming,3,1
regarding one plus seven received th octoberi like tel disappointed see opening wrap phone lot finger mark n print front back phone clean well placing cover packing inside looked crumbled bend phone plastic wrap dog ear one end air bubble one corner screen guard removed complaining u expect premium brand like yr moved expectation fresh pack opened expecting look freshhhhh feel think robbed offjust thought informing thisit pity one plus tamper proof seal box like phonesi even felt display piece send pic sendu see bend board inside dog ear plastic protective coverunfortunately cleaned phone thought clicking finger mark battery life could better fingerprint reader good camera quality goodbest regardsdr rupesh pl,3,1
typing whatsapp letter coming know complain oneplus rectify problem except problem found last day,1,0
guy buying camera please buy never able click picture natural colour always eover expose image change object colour also applies beautification automatically option disable beautification also setting depth control portrait mode change depth battery drain fast connect headfones bluetooth processing power good camera quality battery life major drawback rather samsung galaxy series,1,1
writing one day use love everything voice music video processor user interface fast charging speed fingerprint reader camera switching triple camera except picture great low light would loved earphone paying much battery drain fastoverall great phone must buy budget edit add find something else,4,1
charger provided warp charge warp charge,4,0
beauty beast run fly third one plus device one plus amazing display hz amazing every animation feel smooth fast compared iphone colleague guess felt lag iphone animation nowhere near one plus display smoothness hard revert hz display people boasting iphone camera performance would say marginal hyped iphone score would give one plus photography iphone definitely better videography genuinely one plus camera better compete flagship would say ka farq hai come speaker loud clear enjoy every sound device one best speaker flagship vibration significantly improved last one plus generation one best among flagship screen fingerprint print stupidly fast face unlock insane conscoz hz display obvious would consume power battery backup average warp charge come rescue fastest coolest charging,5,1
speaker problem sometimes top earphone speaker work bottom one reboot start working,1,1
star phone star amazon delivery customer service,1,0
battery drain fast camera result poor blurred photo coming mainly phone hang lot normal operation refer attached video sometimes thumb lock working phone hang get clear switch phone one day sudden phone screen turn black color pressing place screen side button press switch function helping turn phone put charger see anything happens turn phone worked finally pressed key lock key together turned fresh device need replacement freah healthy device return back money amazon team plz guide make complain one plus team regard yatin,1,1
crazy fast sd powerhouse runns anything throw super smooth display beautiful extremely fluid thanks hz refresh rate oneplus say harmful blue light cut really see display also get plenty bright toothe cemras need work sure fixed software update day come miss headphone jack also miss day global warming thing battery good oneplus phone cause display power hungry led thanks hz refresh rate drop hz voila good go would sense buying phone first place also dash charge charge phone lighting fast case provided box good quality used fulltime case update day delivery little slow help,5,1
loyal oneplus user long time got great deal ordered trading oneplus received phone today random restarts screen freeze blackout even setting first time screen blackout later using min started reboot randomly real reason phone damage believe one got rare faulty item reached amazon phone wait queue like min customer care rep understood issue scheduled service visit check issue post determines faulty unit might get replacement new phone update review rating post update lot struggle blockage finally got replaced amazon thanks nitu amazon helped replaced device new one work fluid stable lovely device also installed oneplus care app claimed complimentary extra year warranty guy done,5,1
